,Region,Asset Type, Site Name , Owner , Fuel Type ,Number of Units,Upper Nameplate Capacity (MW),Nameplate_Capacity,Storage Capacity (MWh),Unit Status,Fuel_Bucket_Summary,variable,specificYear
16,VIC,Existing Plant,Berrybank Wind Farm,Berrbank Development Pty ltd,Wind - Wind,26,4.2,109.2,, In Service , Wind ,Full Commercial Use Date,2022.0
17,NSW,Existing Plant,Beryl Solar Farm,FS NSW Project No 1 AT Pty Ltd as trustee of FS NSW Project No 1 Asset Trust,Solar - Solar,60,1.64,98.4,0.0, In Service , Solar ,Full Commercial Use Date,2019.0
18,QLD,Existing Plant,Bluegrass Solar Farm,X-Elio Australia Pty Ltd,Solar - Solar,1,148,148,0.0, In Service , Solar ,Full Commercial Use Date,2023.0
19,SA,Project,Blyth BESS,Neoen Australia Pty Ltd,Other - Other,64,3.13,200,400.0, Committed , Battery Storage ,Full Commercial Use Date,2024.0
20,NSW,Existing Plant,Bodangora Wind Farm,Bodangora Wind Farm Pty Ltd,Wind - Wind,33,3.43,113.19,, In Service , Wind ,Full Commercial Use Date,2019.0
21,SA,Existing Plant,Bolivar Power Station,Iberdrola Australia Energy Markets Pty Limited,Fossil - Natural Gas Pipeline,4,30.8,123.2,, In Service , OCGT ,Full Commercial Use Date,2022.0
22,SA,Existing Plant,Bolivar Waste Water Treatment,South Australian Water Corporation,Solar - Solar,3,3.75,11.25,, In Service , Solar ,Full Commercial Use Date,2022.0
23,SA,Existing Plant,Bolivar Waste Water Treatment,South Australian Water Corporation,Other - Other,1,2.46,2.46,5.04, In Service , Battery Storage ,Full Commercial Use Date,2023.0
24,NSW,Existing Plant,Bomen Solar Farm,Spark Infrastructure Holdings No. 6 Pty Limited,Solar - Solar,44,2.75,121,0.0, In Service , Solar ,Full Commercial Use Date,2020.0
25,NSW,Project,Bonshaw Solar Farm,GAIA Australia Pty Ltd,Solar - Solar,1,200,200,, Publicly Announced , Solar ,Full Commercial Use Date,2025.0
26,QLD,Project,Borumba,Queensland Hydro,Hydro - Water,6,333,"1,998.00",48000.0, Anticipated , Water ,Full Commercial Use Date,1931.0
27,QLD,Existing Plant,Bouldercombe Battery project,Genex Power Limited,Other - Other,40,1.25,50,100.0, In Service , Battery Storage ,Full Commercial Use Date,2023.0
28,NSW,Existing Plant,Broken Hill,MACQGEN,Other - Other,1,50,50,50.0, In Commissioning , Battery Storage ,Full Commercial Use Date,2024.0
29,VIC,Existing Plant,Bulgana Green Power Hub - BESS,Bulgana Wind Farm Pty Ltd,Other - Other,40,0.5,20,34.0, In Service , Battery Storage ,Full Commercial Use Date,2021.0
30,VIC,Existing Plant,Bulgana Green Power Hub - Wind Farm,Bulgana Wind Farm Pty Ltd,Wind - Wind,56,3.65,204.4,, In Service , Wind ,Full Commercial Use Date,2021.0
31,QLD,Project,Bundaberg Solar Farm,Bundaberg Development Pty Ltd,Solar - Solar,1,78,78,, Committed , Solar ,Full Commercial Use Date,2025.0
32,SA,Existing Plant,Bungala One Solar Farm,Bungala One Operations Pty Ltd as trustee for the Bungala One Operations Trust,Solar - Solar,54,2.5,135,0.0, In Service , Solar ,Full Commercial Use Date,2018.0
33,SA,Existing Plant,Bungala Two Solar Farm,Bungala Two Operations Pty Ltd as trustee for the Bungala Two Operations Trust,Solar - Solar,54,2.5,135,, In Service , Solar ,Full Commercial Use Date,2021.0
34,QLD,Project,Burdekin BESS,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST,Other - Other,139,3.6,500.4,2000.0, Publicly Announced , Battery Storage ,Full Commercial Use Date,2026.0
35,QLD,Project,Burdekin Solar Farm - KCI,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST,Solar - Solar,2,3.6,7.2,, Publicly Announced , Solar ,Full Commercial Use Date,2026.0
36,NSW,Project,Capital Battery,Capital Battery Pty Ltd,Other - Other,33,3.04,100.32,200.0, Committed , Battery Storage ,Full Commercial Use Date,2024.0
37,QLD,Project,Captains Mountain Wind Farm,vestas_NR,Wind - Wind,45,7.2,324,, Publicly Announced , Wind ,Full Commercial Use Date,2027.0
38,NSW,Project,Carag Solar Farm,Enerparc Australia Pty Ltd,Solar - Solar,4,4,16,, Publicly Announced , Solar ,Full Commercial Use Date,2025.0
39,VIC,Project,Carisbrook Solar Farm,Origin Energy,Solar - Solar,1,74,74,, Publicly Announced , Solar ,Full Commercial Use Date,1930.0
40,TAS,Existing Plant,Cattle Hill Wind Farm,Wild Cattle Hill Pty Ltd,Wind - Wind,45,3.2,144,, In Service , Wind ,Full Commercial Use Date,2021.0
41,VIC,Existing Plant,Chepstowe Wind Farm - VIC,Chepstowe Wind Farm Pty Ltd,Wind - Wind,3,2.05,6.15,, In Service , Wind ,Full Commercial Use Date,2015.0
42,VIC,Existing Plant,Cherry Tree Wind Farm,Cherry Tree Wind Farm Pty Limited A.T.F. Cherry Tree Project Trust,Wind - Wind,16,3.6,57.6,, In Service , Wind ,Full Commercial Use Date,2020.0
43,QLD,Existing Plant,Childers Solar Farm,Childers Solar Pty Ltd as trustee for the Childers Solar Trust,Solar - Solar,37,1.74,64.38,, In Service , Solar ,Full Commercial Use Date,2019.0
44,QLD,Existing Plant,Chinchilla BESS,CSENERGY,Other - Other,1,100,100,200.0, In Service , Battery Storage ,Full Commercial Use Date,2024.0
45,SA,Existing Plant,Christies Beach Wastewater Treatment Plant,South Australian Water Corporation,Other - Other,1,2.09,2.09,4.32, In Service , Battery Storage ,Full Commercial Use Date,2023.0
46,SA,Existing Plant,Christies Beach Wastewater Treatment Plant,South Australian Water Corporation,Solar - Solar,2,2.4,4.8,, In Service , Solar ,Full Commercial Use Date,2022.0
47,QLD,Project,Clarke Creek Wind Farm,Squadron Energy Services Pty Ltd,Wind - Wind,77,4.5,346.5,, Committed , Wind ,Full Commercial Use Date,2025.0
48,QLD,Project,Clarke Creek Wind Farm,Squadron Energy Services Pty Ltd,Wind - Wind,23,4.5,103.5,, Committed , Wind ,Full Commercial Use Date,2025.0
49,QLD,Existing Plant,Clermont Solar Farm,Clermont Asset Co Pty Ltd as Trustee for Clerrmont Solar Unit Trust,Solar - Solar,37,2.5,92.5,, In Service , Solar ,Full Commercial Use Date,2019.0
50,NSW,Existing Plant,Collector,Ratch Australia,Wind - Wind,54,4.2,226.8,, In Service , Wind ,Full Commercial Use Date,2020.0
51,QLD,Existing Plant,Collinsville PV,Ratch Australia,Solar - Solar,17,2.5,42.5,, In Service , Solar ,Full Commercial Use Date,2018.0
52,QLD,Existing Plant,Columboola Solar Farm,Luminous Energy,Solar - Solar,79,2.75,217.25,0.0, In Service , Solar ,Full Commercial Use Date,2023.0
53,QLD,Existing Plant,Coopers Gap Wind Farm,PARF Company 6 Pty Limited,Wind - Wind,91,3.63,330.33,, In Service , Wind ,Full Commercial Use Date,2022.0
54,QLD,Existing Plant,Coopers Gap Wind Farm,PARF Company 6 Pty Limited,Wind - Wind,32,3.83,122.56,, In Service , Wind ,Full Commercial Use Date,2022.0
55,NSW,Existing Plant,Corowa Solar Farm,Corowa Operationsco Pty Ltd as trustee for Corowa Operations Trust,Solar - Solar,22,1.64,36.01,, In Service , Solar ,Full Commercial Use Date,2021.0
56,NSW,Existing Plant,Crookwell 2 Wind Farm,Crookwell Development Pty Ltd,Wind - Wind,28,3.43,96.04,, In Service , Wind ,Full Commercial Use Date,2018.0
57,NSW,Project,Crookwell 3 Wind Farm,Crookwell 3 Development Pty Ltd,Wind - Wind,16,3.6,57.6,, Committed , Wind ,Full Commercial Use Date,2024.0
58,NSW,Existing Plant,Crudine Ridge Wind Farm,CRWF Nominees Pty Ltd as trustee of the CRWF Trust,Wind - Wind,37,3.83,141.71,, In Service , Wind ,Full Commercial Use Date,2022.0
59,NSW,Project,Culcairn Solar Farm,Culcarin Solar Farm Trust,Solar - Solar,111,3.15, 0.22 - 349.98 ,, Committed , Solar ,Full Commercial Use Date,2026.0
60,SA,Project,Cultana Solar Farm,Cultana Solar Project Company Pty Ltd as trustee for the Cultana Solar Farm Trust,Solar - Solar,104,3.44,357.45,, Anticipated , Solar ,Full Commercial Use Date,2026.0
61,NSW,Existing Plant,Darlington Point Energy Storage System,DPESS Pty Ltd,Other - Other,1,25,25,50.0, In Service , Battery Storage ,Full Commercial Use Date,2023.0
62,NSW,Existing Plant,Darlington Point Solar Farm,Darlington Point Solar Farm Pty Ltd,Solar - Solar,108,2.55,274.97,, In Service , Solar ,Full Commercial Use Date,2021.0
63,VIC,Project,Derby Solar Farm,DERBY SOLAR PROJECT PTY LTD ,Solar - Solar,30,3.17,95.1,, Anticipated , Solar ,Full Commercial Use Date,2025.0
64,VIC,Existing Plant,Diapur Wind Farm,Diapur Wind Farm Pty Ltd,Wind - Wind,2,4,8,, In Service , Wind ,Full Commercial Use Date,2021.0
65,NSW,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd,Solar - Solar,1,400,400,, Publicly Announced , Solar ,Full Commercial Use Date,2028.0
66,NSW,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd,Solar - Solar,1,400, 4.00 - 400.00 ,, Publicly Announced , Solar ,Full Commercial Use Date,2027.0
67,NSW,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd,Wind - Wind,114,6.6, 513.00 - 752.40 ,, Publicly Announced , Wind ,Full Commercial Use Date,1930.0
68,NSW,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd,Wind - Wind,86,6.6, 344.00 - 567.60 ,, Publicly Announced , Wind ,Full Commercial Use Date,2027.0
69,NSW,Project,Dinawan Energy Hub,Spark Renewables Pty Ltd,Other - Other,1,300,300,600.0, Publicly Announced , Battery Storage ,Full Commercial Use Date,2027.0
70,QLD,Existing Plant,Dulacca Wind Farm,Dulacca Energy Project Co Pty Ltd,Wind - Wind,43,4.02,172.99,, In Service , Wind ,Full Commercial Use Date,2024.0
71,VIC,Existing Plant,Dundonnell Wind Farm,Tilt Renewables,Wind - Wind,40,4.2,168,, In Service , Wind ,Full Commercial Use Date,2022.0
72,VIC,Existing Plant,Dundonnell Wind Farm,Tilt Renewables,Wind - Wind,29,4.2,121.8,, In Service , Wind ,Full Commercial Use Date,2022.0
73,VIC,Existing Plant,Dundonnell Wind Farm,Tilt Renewables,Wind - Wind,11,4.2,46.2,, In Service , Wind ,Full Commercial Use Date,2022.0
74,QLD,Existing Plant,Edenvale Solar Park,Edenvale Solar Park Pty Ltd,Solar - Solar,1,180,180,, In Service , Solar ,Full Commercial Use Date,2024.0
75,VIC,Existing Plant,Elaine Wind Farm,Northleaf /InfraRed/Macquarie Capital,Wind - Wind,22,3.8,83.6,, In Service , Wind ,Full Commercial Use Date,2020.0
76,QLD,Existing Plant,Emerald Solar Park,Lighthouse Infrastructure Management Limited,Solar - Solar,32,2.25,72,, In Service , Solar ,Full Commercial Use Date,2019.0
77,NSW,Project,Eraring Big Battery,Origin Energy Electricity Limited,Other - Other,1,460,460,920.0, Committed* , Battery Storage ,Full Commercial Use Date,2025.0
78,NSW,Existing Plant,Finley Solar Farm,Finley Solar Farm Pty Ltd as The trustee for Finley Solar Trust,Solar - Solar,99,1.64,162.36,, In Service , Solar ,Full Commercial Use Date,2019.0
79,NSW,Existing Plant,Flyers Creek Wind Farm,Flyers Creek Wind Farm Pty Ltd,Wind - Wind,38,3.83,145.54,, In Service , Wind ,Full Commercial Use Date,2024.0
80,VIC,Project,Frasers Solar Farm,Frasers Lane Development Pty Ltd,Solar - Solar,1,77,77,, Anticipated , Solar ,Full Commercial Use Date,2025.0
81,VIC,Project,Girgarre Solar Farm,Giragarre Solar Farm Pty Ltd as trustee for Giragarre Solar Farm Trust,Solar - Solar,57,1.64,93.48,, Committed , Solar ,Full Commercial Use Date,2024.0
82,VIC,Existing Plant,Glenrowan Solar Farm,Glenrowan Solar Farm Pty Ltd as trustee for Glenrowan Solar Farm Trust,Solar - Solar,30,2.75,82.5,, In Service , Solar ,Full Commercial Use Date,2024.0
83,VIC,Existing Plant,Glenrowan West Solar Farm,Glenrowan Sun Farm Pty Ltd,Solar - Solar,48,2.75,132,, In Service , Solar ,Full Commercial Use Date,2021.0
84,VIC,Project,Gnarwarre BESS Facility,FRV SA Pty Ltd,Other - Other,100,2.9,290,550.0, Anticipated , Battery Storage ,Full Commercial Use Date,2027.0
85,VIC,Project,Golden Plains Wind Farm East,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,Wind - Wind,122,6.2,756.4,, Committed , Wind ,Full Commercial Use Date,2025.0
86,NSW,Existing Plant,Goonumbla Solar Farm,Goonumbla Asset Co Pty Ltd as trustee for the Goonumbla Asset Trust,Solar - Solar,31,2.25,69.75,, In Service , Solar ,Full Commercial Use Date,2021.0
87,SA,Project,Goyder South Wind Farm 1A,Goyder Wind Farm 1 Trust,Wind - Wind,38,5.5,209,, Committed , Wind ,Full Commercial Use Date,2024.0
88,SA,Project,Goyder South Wind Farm 1B,Goyder Wind Farm 1B Trust,Wind - Wind,37,5.5,203.5,, Committed , Wind ,Full Commercial Use Date,2024.0
89,TAS,Existing Plant,Granville Harbour Wind Farm,Granville Harbour Operations Pty Ltd as trustee for Granville Harbour Operations Trust,Wind - Wind,31,3.6,111.6,, In Service , Wind ,Full Commercial Use Date,2020.0
90,TAS,Project,Great Lakes Battery,Neoen Australia Pty Ltd,Other - Other,1,100,100,100.0, Publicly Announced , Battery Storage ,Full Commercial Use Date,2026.0
91,QLD,Project,Greenbank BESS,CSENERGY,Other - Other,1,200,200,400.0, Committed , Battery Storage ,Full Commercial Use Date,2025.0
92,NSW,Existing Plant,Gullen Range Wind Farm 2,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Wind - Wind,31,3.57,110.67,, In Service , Wind ,Full Commercial Use Date,2023.0
93,NSW,Existing Plant,Gunnedah Solar Farm,Gunnedah SF Pty Ltd atf Gunnedah Asset Trust,Solar - Solar,1,110,110,, In Service , Solar ,Full Commercial Use Date,2021.0
94,SA,Existing Plant,Happy Valley Reservoir,South Australian Water Corporation,Solar - Solar,3,2.78,8.34,, In Service , Solar ,Full Commercial Use Date,2022.0
95,SA,Existing Plant,Happy Valley Reservoir,South Australian Water Corporation,Other - Other,1,4.41,4.41,8.82, In Service , Battery Storage ,Full Commercial Use Date,2022.0
96,QLD,Existing Plant,Haughton Solar Farm Stage 1,Pacific Hydro Haughton Solar Farm Pty Ltd,Solar - Solar,81,1.64,132.6,, In Service , Solar ,Full Commercial Use Date,2020.0
97,VIC,Existing Plant,Hazelwood Battery Energy Storage System (HBESS),Hazelwood BESS Project Co Pty Ltd as trustee for the HBESS Asset Trust,Other - Other,1,200.07,200.07,162.0, In Service , Battery Storage ,Full Commercial Use Date,2023.0
98,NSW,Existing Plant,Hillston Sun Farm,Hillston Sun Farm Operations Pty Ltd ATF Hillston,Solar - Solar,40,2.75,110,, In Service , Solar ,Full Commercial Use Date,2022.0
99,SA,Existing Plant,Hornsdale Power Reserve Unit 1,Hornsdale Power Reserve Pty Ltd,Other - Other,1,50,50,61.3, In Service , Battery Storage ,Full Commercial Use Date,2020.0
100,VIC,Project,Horsham Solar Farm,ESCO SOLAR FARM 7 PTY LTD,Solar - Solar,36,3.3,118.8,, Anticipated , Solar ,Full Commercial Use Date,2024.0
101,QLD,Existing Plant,Hughenden Sun Farm,Hughenden Solar Pty Ltd as Trustee for Hughenden Solar Trust,Solar - Solar,18,1.17,20.97,, In Service , Solar ,Full Commercial Use Date,2022.0
102,NSW,Project,Hunter Power Station,Snowy Hydro Limited,Fossil - Natural Gas Pipeline,1,375,375,, Committedï¿½  , OCGT ,Full Commercial Use Date,2024.0
103,NSW,Project,Hunter Power Station,Snowy Hydro Limited,Fossil - Natural Gas Pipeline,1,375,375,, Committedï¿½  , OCGT ,Full Commercial Use Date,2024.0
104,QLD,Project,Innes Park Solar Farm,Enerparc Australia Pty Ltd,Solar - Solar,6,4,24,, Publicly Announced , Solar ,Full Commercial Use Date,2026.0
105,NSW,Existing Plant,Jemalong Solar,Genex Power,Solar - Solar,20,2.75,55,0.0, In Service , Solar ,Full Commercial Use Date,2021.0
106,QLD,Existing Plant,Kaban Wind Farm,Kaban Wind Farm Trust,Wind - Wind,28,5.6,156.8,, In Service , Wind ,Full Commercial Use Date,2023.0
107,NSW,Existing Plant,Kanowna Solar Farm,Kanowna Solar Pty Ltd,Solar - Solar,2,2.5,5,, In Service , Solar ,Full Commercial Use Date,2019.0
108,VIC,Existing Plant,Karadoc Solar Farm,Iraak Sun Farm Pty Ltd,Solar - Solar,38,2.75,104.5,, In Service , Solar ,Full Commercial Use Date,2018.0
109,QLD,Existing Plant,Kennedy Energy Park - Phase 1 - Solar,Windlab / Eurus,Solar - Solar,6,2.5,15,0.0, In Commissioning , Solar ,Full Commercial Use Date,2024.0
110,QLD,Existing Plant,Kennedy Energy Park - Phase 1 - Storage,Windlab/Eurus,Other - Other,4,0.5,2,4.0, In Commissioning , Battery Storage ,Full Commercial Use Date,2024.0
111,QLD,Existing Plant,Kennedy Energy Park - Phase 1 - Wind,Windlab / Eurus,Wind - Wind,12,3.6,43.2,, In Commissioning , Wind ,Full Commercial Use Date,2024.0
112,VIC,Project,Kerang BESS,Kerang Bess Pty Ltd,Other - Other,44,2.4,105.6,200.0, Publicly Announced , Battery Storage ,Full Commercial Use Date,2025.0
113,VIC,Existing Plant,Kiamal Solar Farm - Stage 1,KSF Project Nominees Pty Ltd ATF KSF Project Trust,Solar - Solar,150,1.33,199.95,0.0, In Service , Solar ,Full Commercial Use Date,2022.0
114,QLD,Project,Kidston Pumped Storage Hydro Project 250MW,Genex Power Ltd,Hydro - Water,2,125,250,2000.0, Committed , Water ,Full Commercial Use Date,2025.0
115,QLD,Existing Plant,Kidston Solar Project Phase One 50MW,Genex Power Limited,Solar - Solar,20,2.5,50,0.0, In Service , Solar ,Full Commercial Use Date,2017.0
116,VIC,Project,Koorangie Energy Storage System ,Edify Energy,Other - Other,1,185,185,370.0, Committed , Battery Storage ,Full Commercial Use Date,2025.0
117,QLD,Existing Plant,Lilyvale Solar Farm,Lilyvale Asset Co Pty Ltd ATF Lilyvale Asset Trust,Solar - Solar,74,1.6,118.4,, In Service , Solar ,Full Commercial Use Date,2022.0
118,NSW,Existing Plant,Limondale Solar Farm 1,Limondale Sun Farm Pty Ltd,Solar - Solar,100,2.3,230,, In Service , Solar ,Full Commercial Use Date,2022.0
119,NSW,Existing Plant,Limondale Solar Farm 2,Limondale Sun Farm Pty Ltd,Solar - Solar,14,2.07,28.98,0.0, In Service , Solar ,Full Commercial Use Date,2023.0
120,SA,Project,Lincoln Gap Wind Farm - BESS,Lincoln Gap Wind Farm Pty Ltd,Other - Other,1,10,10,10.0, Anticipated , Battery Storage ,Full Commercial Use Date,2024.0
121,SA,Existing Plant,Lincoln Gap Wind Farm - stage 1,Lincoln Gap Wind Farm Pty Ltd,Wind - Wind,35,3.6,126,0.0, In Service , Wind ,Full Commercial Use Date,2020.0
122,SA,Existing Plant,Lincoln Gap Wind Farm - Stage 2,Lincoln Gap Wind Farm Pty Ltd,Wind - Wind,24,3.6,86.4,, In Service , Wind ,Full Commercial Use Date,2022.0
123,QLD,Project,MacIntyre Wind Farm,Macintyre Windfarm Pty Ltd and Arc Energy Macintyre Pty Ltd,Wind - Wind,162,5.7,923.4,, Committed* , Wind ,Full Commercial Use Date,2024.0
124,NSW,Existing Plant,Manildra Solar Farm,Manildra Prop Pty Ltd as trustee for the Manildra Asset Trust,Solar - Solar,20,2.5,50,, In Service , Solar ,Full Commercial Use Date,2018.0
125,SA,Existing Plant,Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),South Australian Water Corporation,Solar - Solar,6,2.8,16.8,, In Service , Solar ,Full Commercial Use Date,2022.0
126,SA,Existing Plant,Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),South Australian Water Corporation,Solar - Solar,6,2.06,12.36,, In Service , Solar ,Full Commercial Use Date,2023.0
127,SA,Existing Plant,Mannum Solar Farm,Mannum Solar Farm Pty Ltd,Solar - Solar,1,4.95,4.95,, In Service , Solar ,Full Commercial Use Date,2019.0
128,SA,Existing Plant,Mannum Solar Farm 2,Mannum Stage 2 SubCo Pty Ltd as trustee for the Mannum Stage 2 Unit Trust,Solar - Solar,11,2.73,29.99,, In Commissioning , Solar ,Full Commercial Use Date,2024.0
129,QLD,Existing Plant,Maryrorough Solar Farm,Maryrorough Solar Pty Ltd,Solar - Solar,1,34.5,34.5,, In Service , Solar ,Full Commercial Use Date,2021.0
130,NSW,Project,Maryvale Solar and Energy Storage System,Maryvale Solar Farm Pty Ltd ,Other - Other,61,2.82,172.02,5.73, Anticipated , Battery Storage ,Full Commercial Use Date,2027.0
131,NSW,Project,Maryvale Solar and Energy Storage System,Maryvale Solar Farm Pty Ltd ,Solar - Solar,61,2.82,172.02,, Anticipated , Solar ,Full Commercial Use Date,2027.0
132,VIC,Project,Melbourne Renewable Energy Hub - Side A,MREH Pty Ltd as trustee for MREH Asset Trust,Other - Other,1,600,600,1600.0, Committed , Battery Storage ,Full Commercial Use Date,2025.0
133,NSW,Existing Plant,Metz Solar Farm,Metz ProjectCo Pty Ltd as trustee for Metz ProjectCo Trust ,Solar - Solar,54,2.5,135,, In Service , Solar ,Full Commercial Use Date,2023.0
134,QLD,Existing Plant,Middlemount Solar Farm,Capricorn SF No1 Pty Ltd,Solar - Solar,1,26,26,, In Service , Solar ,Full Commercial Use Date,2021.0
135,NSW,Existing Plant,Molong Solar Farm,Molong Operations co Pty Ltd ATF Molong Operations Trust,Solar - Solar,22,1.64,36.08,, In Service , Solar ,Full Commercial Use Date,2021.0
136,VIC,Existing Plant,Moorabool Wind Farm,Moorabool Wind Farm Interface Company Pty Ltd,Wind - Wind,104,3,312,, In Service , Wind ,Full Commercial Use Date,2022.0
137,SA,Existing Plant,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,South Australian Water Corporation,Solar - Solar,2,3.06,6.12,, In Service , Solar ,Full Commercial Use Date,2022.0
138,SA,Existing Plant,Morgan To Whyalla Pipeline No 2 PS,South Australian Water Corporation,Solar - Solar,2,2.94,5.88,, In Service , Solar ,Full Commercial Use Date,2022.0
139,SA,Existing Plant,Morgan To Whyalla Pipeline No 3 PS,South Australian Water Corporation,Solar - Solar,3,2.46,7.38,, In Service , Solar ,Full Commercial Use Date,2022.0
140,SA,Existing Plant,Morgan To Whyalla Pipeline No 4 PS,South Australian Water Corporation,Solar - Solar,2,2.94,5.88,, In Service , Solar ,Full Commercial Use Date,2022.0
141,VIC,Project,Mornington BESS,Mornington BESS Project Pty Ltd as Trustee of Mornington BESS Project Trust,Other - Other,1,240,240,480.0, Publicly Announced , Battery Storage ,Full Commercial Use Date,2026.0
142,VIC,Existing Plant,Mortlake South Wind Farm,Mortlake South Wind Farm Pty Ltd,Wind - Wind,35,4.5,157.5,, In Service , Wind ,Full Commercial Use Date,2023.0
143,QLD,Existing Plant,Mount Emerald,Ratch Australia,Wind - Wind,53,3.41,180.52,, In Service , Wind ,Full Commercial Use Date,2018.0
144,QLD,Project,Mount Hopeful Wind Farm,Neoen Australia Pty Ltd,Wind - Wind,1,370,370,, Publicly Announced , Wind ,Full Commercial Use Date,2026.0
145,QLD,Existing Plant,Moura Solar Farm,Moura Solar Farm SPV Pty Ltd as the Trustee for Moura Solar Farm Unit Trust,Solar - Solar,36,2.75,99,, In Service , Solar ,Full Commercial Use Date,2023.0
146,VIC,Existing Plant,Mt Gellibrand Wind Farm,ACCIONA Energy,Wind - Wind,44,3.15,138.6,, In Service , Wind ,Full Commercial Use Date,2018.0
147,NSW,Existing Plant,Mt Piper,EnergyAustralia NSW Pty Ltd,Fossil - Black Coal,1,660,660,, In Service , Coal ,Full Commercial Use Date,2027.0
148,QLD,Project,Munna Creek Solar Farm,Munna Creek Solar Farm Investments Pty Ltd as trustee for the Munna Creek Solar Farm Trust,Solar - Solar,56,2.75,154,, Anticipated , Solar ,Full Commercial Use Date,2024.0
149,VIC,Existing Plant,Murra Warra Wind Farm - stage 1,Murra Warra Project Co Pty Ltd,Wind - Wind,61,3.7,225.7,, In Service , Wind ,Full Commercial Use Date,2021.0
150,VIC,Existing Plant,Murra Warra Wind Farm - stage 2,Murra Warra II Project Co Pty Ltd as Trustee for the Murra Warra II Project Trust,Wind - Wind,38,5.5,209,, In Service , Wind ,Full Commercial Use Date,2022.0
151,SA,Existing Plant,Murray Bridge - Onkaparinga Pipeline Pump 2,South Australian Water Corporation,Solar - Solar,6,2.29,13.74,, In Service , Solar ,Full Commercial Use Date,2022.0
152,NSW,Project,Narrabri Hybrid Project, Narrabri Genesis Hold Pty Ltd ATF Narrabri Genesis Hold Trust,Other - Other,1,3.6,3.6,400.0, Publicly Announced , Battery Storage ,Full Commercial Use Date,2027.0
