Region,Asset Type, Site Name , Owner , Technology Type , Fuel Type , DUID ,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId, AEMO KCI Id , Survey Last Requested ,Survey Version DateTime
 NSW1 ,Project,Bannaby BESS,Penso Power Australia Pty Ltd., Storage - Battery ,Other - Other,,1,700,700,700,700,700,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2636,N00144,,
 VIC1 ,Existing Plant,Bannerton Solar Park,Foresight Solar Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,BANN1,40,,2.5,,100,100,, In Service ,SS,Jun-19,2049,,Existing less Announced Withdrawal, Solar ,1492,,Feb-24,15/03/2024
 QLD1 ,Existing Plant,Barcaldine Power Station,Ergon Energy Queensland Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BARCALDN,1,,37,,37,37,, In Service ,S,,2034,,Existing less Announced Withdrawal, OCGT ,1010,,Feb-24,30/04/2024
 QLD1 ,Existing Plant,Barcaldine Remote Community Solar Farm,Barcaldine Remote Community Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,BARCSF1,1,20,20,20,20,20,, In Service ,NS,,2049,,Existing less Announced Withdrawal, Solar ,1389,,Apr-21,27/03/2023
 SA1 ,Existing Plant,Barker Inlet Power Station,AGL Barker Inlet Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Natural Gas Pipeline,BARKIPS1,12,,17.5,,210,210,, In Service ,S,Jan-20,2044,,Existing less Announced Withdrawal, Gas other ,1463,,Feb-24,7/03/2024
 SA1 ,Project,Barn Hill,Barn HIll Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,62,2,3,124,186, 124.00 - 186.00 ,, Publicly Announced ,SS,,,,Proposed, Wind ,1011,,May-23,6/03/2024
 SA1 ,Project,Baroota Pumped Hydro Project,ACEN Renewables, Hydro - Dam ,Hydro - Water,,2,125,125,250,250,250,0, Publicly Announced ,S,Dec-25,2072,,Proposed, Water ,1682,,May-23,9/06/2023
 QLD1 ,Existing Plant,Barron Gorge,CleanCo Queensland Limited, Hydro - Run of River ,Hydro - Water,BARRON-1,1,,35,,35,35,, In Service ,S,,2042,,Existing less Announced Withdrawal, Water ,1012,,Feb-24,19/03/2024
 QLD1 ,Existing Plant,Barron Gorge,CleanCo Queensland Limited, Hydro - Run of River ,Hydro - Water,BARRON-2,1,,35,,35,35,, In Service ,S,,2042,,Existing less Announced Withdrawal, Water ,1012,,Feb-24,19/03/2024
 NSW1 ,Project,Barwon Solar Farm & BESS ,elgin-energy_nr, Solar PV - Fixed ,Solar - Solar,,1,,250,,250,250,, Publicly Announced ,TBA,,,,Proposed, Solar ,2467,,Jan-24,19/04/2023
 TAS1 ,Project,Bashan 1 Wind Farm,Goldwind Australia, Wind Turbine - Onshore ,Wind - Wind,,59,7.8,7.8,460.2,460.2,460.2,, Publicly Announced ,SS,,,,Proposed, Wind ,2470,T00028,Sep-23,9/10/2023
 TAS1 ,Project,Bass Offshore Wind Energy Project, Nexsphere Pty Ltd, Wind Turbine - Offshore ,Wind - Wind,,1,500,500,500,500,500,, Publicly Announced ,TBA,,,,Proposed, Wind ,2231,T00010,Sep-23,
 TAS1 ,Existing Plant,Bastyan,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,BASTYAN,1,,79.9,,79.9,79.9,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1013,,Feb-24,8/03/2024
 TAS1 ,Project,Battery of the Nation - Stage 2b,Hydro Tasmania, Storage - Pumped hydro ,Hydro - Water,,4,,187.5,,750,750,12000, Publicly Announced ,S,,,,Proposed, Water ,1480,,Apr-23,19/03/2024
 TAS1 ,Project,Battery of the Nation - Stage 3b,Hydro Tasmania, Storage - Pumped hydro ,Hydro - Water,,4,,187.5,,750,750,12000, Publicly Announced ,S,,,,Proposed, Water ,1482,,Apr-23,19/03/2024
 NSW1 ,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal,BW01,1, -   ,660, -   ,660,660,, In Service ,S,,2033,,Existing less Announced Withdrawal, Coal ,1014,,Feb-24,7/03/2024
 NSW1 ,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal,BW02,1, -   ,685, -   ,685,685,, In Service ,S,,2033,,Existing less Announced Withdrawal, Coal ,1014,,Feb-24,7/03/2024
 NSW1 ,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal,BW03,1, -   ,685, -   ,685,685,, In Service ,S,,2033,,Existing less Announced Withdrawal, Coal ,1014,,Feb-24,7/03/2024
 NSW1 ,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal,BW04,1, -   ,685, -   ,685,685,, In Service ,S,,2033,,Existing less Announced Withdrawal, Coal ,1014,,Feb-24,7/03/2024
 VIC1 ,Existing Plant,Bayswood�Timber�Hallam�VIC,Bayswood�Timber, Solar PV - Fixed ,Solar - Solar,,1,,0.15,,0.15,0.15,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2071,,,
 VIC1 ,Existing Plant,Beaconhills College Berwick,TBA, Solar PV - Fixed ,Solar - Solar,,1,,0.2,,0.2,0.2,, In Service ,NS,,,,Existing less Announced Withdrawal, Solar ,2072,,,
 QLD1 ,Project,Beebo Battary - KCI,Jinko Power Australia P/L, Storage - Battery ,Other - Other,,1,600,600,600,600,600,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2727,Q00148,,
 QLD1 ,Project,Beebo Solar Farm - KCI,Jinko Power Australia P/L, Solar PV - Fixed ,Solar - Solar,,1,600,600,600,600,600,, Publicly Announced ,SS,,,,Proposed, Solar ,2726,Q00148,,
 QLD1 ,Project,Beelbee Solar Farm,Darling Downs Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,200,200,200,200,200,, Publicly Announced ,SS,,,,Proposed, Solar ,1550,,May-23,18/03/2024
 NSW1 ,Project,Belhaven Renewable Project, Vena Energy Services (Australia) Pty Ltd, Storage - Battery ,Other - Other,,1,408,408,408,408,408,816, Publicly Announced ,S,,,,Proposed, Battery Storage ,2210,N00078,Apr-23,12/12/2023
 TAS1 ,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BBTHREE1,1,,40,,40,40,, In Service ,S,,2040,,Existing less Announced Withdrawal, OCGT ,1015,,Feb-24,11/03/2024
 TAS1 ,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BBTHREE2,1,,40,,40,40,, In Service ,S,,2040,,Existing less Announced Withdrawal, OCGT ,1015,,Feb-24,11/03/2024
 TAS1 ,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BBTHREE3,1,,40,,40,40,, In Service ,S,,2040,,Existing less Announced Withdrawal, OCGT ,1015,,Feb-24,11/03/2024
 NSW1 ,Project,Bellambi Heights Renewables Project,Vena Energy, Storage - Battery ,Other - Other,,1,,408,,408,408,816, Publicly Announced ,S,,,,Proposed, Battery Storage ,1580,,May-23,15/01/2024
 TAS1 ,Project,Bellbay Wind Farm (Low Heads Wind Farm Stage 2),The Trustee for Equis Wind (Australia) LHWF2 Asset Trust, Wind Turbine - Onshore ,Wind - Wind,,28,8,8,224,224,224,, Publicly Announced ,SS,Sep-29,,,Proposed, Wind ,2408,T00024,Sep-23,6/03/2024
 NSW1 ,Project,Ben Bullen BESS,Tetris Energy, Storage - Battery ,Other - Other,,1,20,20,20,20,20,0, Publicly Announced ,S,,,,Proposed, Battery Storage ,2511,,Jan-24,
 NSW1 ,Project,Ben Bullen Solar Farm,Tetris Energy, Solar PV - Fixed ,Solar - Solar,,1,20,20,20,20,20,, Publicly Announced ,SS,,,,Proposed, Solar ,2510,,Jan-24,
 NSW1 ,Project,Ben Bullen Wind Farm,Tetris Energy, Wind Turbine - Onshore ,Wind - Wind,,1,160,160,160,160,160,, Publicly Announced ,SS,,,,Proposed, Wind ,2509,,Jan-24,
 NSW1 ,Project,Bendemeer Renewable Energy Hub - Solar - KCI,Athena Energy Australia (Holdings) Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1,218,218,218,218,218,, Publicly Announced ,TBA,,,,Proposed, Solar ,2372,N00100,Sep-23,
 NSW1 ,Project,Bendemeer Renewable Energy Hub - Storage - KCI,Athena Energy Australia (Holdings) Pty Ltd, Storage - Battery ,Other - Other,,1,100,100,100,100,100,0, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2374,N00100,Sep-23,
 NSW1 ,Project,Bendemeer Renewable Energy Hub - Wind - KCI,Athena Energy Australia (Holdings) Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,1,380,380,380,380,380,, Publicly Announced ,TBA,,,,Proposed, Wind ,2373,N00100,Sep-23,
 VIC1 ,Existing Plant,Bendigo,LMS ENERGY Pty Ltd, Reciprocating Engine - Spark ignition ,Renewable Biomass or Waste - Landfill Gas,,1,,0.5,,0.5,0.5,, In Service ,NS,,2042,,Existing less Announced Withdrawal, Biomass ,1341,,Sep-22,30/09/2022
 VIC1 ,Project,Bennetts Creek BESS,Aries Energy Project Pty Ltd in its capacity as Trustee for the Aries Energy Project Trust, Storage - Battery ,Other - Other,,1,100,100,100,100,100,200, Publicly Announced ,S,,,,Proposed, Battery Storage ,1956,V00045,May-24,22/09/2023
 VIC1 ,Project,Berrimal Wind Farm,Acciona Energy Australia Global, Wind Turbine - Onshore ,Wind - Wind,,16,4.5,4.5,72,72,72,0, Publicly Announced ,SS,,,,Proposed, Wind ,1508,,Apr-23,19/03/2024
 VIC1 ,Project,Berrybank 1 BESS - Storage - KCI,Global Power Generation Australia Pty Ltd, Storage - Battery ,Other - Other,,1,60,60,60,60,60,120, Publicly Announced ,S,,,,Proposed, Battery Storage ,2393,V00087,Sep-23,6/10/2023
 VIC1 ,Existing Plant,Berrybank Wind Farm,Berrbank Development Pty ltd, Wind Turbine - Onshore ,Wind - Wind,BRYB1WF1,43,4.2,4.2,180.6,180.6,180.6,, In Service ,SS,Apr-21,2050,,Existing less Announced Withdrawal, Wind ,1018,,Feb-24,15/03/2024
 VIC1 ,Existing Plant,Berrybank Wind Farm,Berrbank Development Pty ltd, Wind Turbine - Onshore ,Wind - Wind,BRYB2WF2,26,4.2,4.2,109.2,109.2,109.2,, In Service ,SS,Aug-22,2052,,Existing less Announced Withdrawal, Wind ,1018,,Feb-24,15/03/2024
 NSW1 ,Project,Beryl BESS,Ratch-Australia Corporation, Storage - Battery ,Other - Other,,20,,5,,100,100,200, Publicly Announced ,S,,,,Proposed, Battery Storage ,2448,N00123,Apr-23,18/03/2024
 NSW1 ,Existing Plant,Beryl Solar Farm,FS NSW Project No 1 AT Pty Ltd as trustee of FS NSW Project No 1 Asset Trust, Solar PV - Single axis tracking ,Solar - Solar,BERYLSF1,60,1.64,1.64,98.4,98.4,98.4,0, In Service ,SS,May-19,2049,,Existing less Announced Withdrawal, Solar ,1416,,Feb-24,5/06/2024
 NSW1 ,Project,BESS Finley,BESS Finley P/L, Storage - Battery ,Other - Other,,40,5,5,200,200,200,0, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2478,N00114,Sep-23,
 SA1 ,Existing Plant,BHP Olympic Dam Backup Generation,BHP Billiton, Reciprocating Engine - Compression ignition ,Fossil - Diesel,,1,,30,,30,30,, In Service ,NS,,,,Existing less Announced Withdrawal, Other ,2073,,Sep-23,
 QLD1 ,Project,Big G Pumped Hydro Project,BE Power, Storage - Pumped hydro ,Hydro - Water,,1,,800,,800,800,9600, Publicly Announced ,S,,,,Proposed, Water ,2786,,,
 QLD1 ,Project,Big T Pumped Hydro Project,BE Power, Storage - Pumped hydro ,Hydro - Water,,1,,400,,400,400,4000, Publicly Announced ,S,,,,Proposed, Water ,2787,,,
 QLD1 ,Project,Big-T Project,BE Power, Storage - Pumped hydro ,Hydro - Water,,2, -   ,200, -   ,400,400,4000, Publicly Announced ,S,,,,Proposed, Water ,1968,Q00051,Sep-23,26/09/2023
